name,full_name,birth_date,age,height,weight,rating,value,heading_accuracy,short_passing,long_passing,acceleration,penalties
L. Messi,Lionel Andrés Messi Cuccittini,6/24/1987,31,170.18,72.1,94,110500000,70,92,89,91,75
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,2/5/1985,34,187.96,83,94,77000000,89,81,77,89,85
Neymar Jr,Neymar da Silva Santos Junior,2/5/1992,27,175.26,68,92,108000000,62,84,80,94,81
L. Suárez,Luis Alberto Suárez Díaz,1/24/1987,32,182.88,86.2,91,80000000,82,82,69,83,85
L. Modrić,Luka Modrić,9/9/1985,33,172.72,66.2,91,67000000,55,93,88,80,82
E. Hazard,Eden Hazard,1/7/1991,28,172.72,76.2,91,93000000,61,89,83,94,86
K. De Bruyne,Kevin De Bruyne,6/28/1991,27,154.94,69.9,91,102000000,55,92,91,78,79
De Gea,David De Gea Quintana,11/7/1990,28,193.04,76.2,91,72000000,21,50,51,57,40
G. Chiellini,Giorgio Chiellini,8/14/1984,34,187.96,84.8,90,31000000,83,59,59,63,50
Sergio Ramos,Sergio Ramos García,3/30/1986,32,182.88,82.1,90,44000000,91,80,83,76,82
David Silva,David Josué Jiménez Silva,1/8/1986,33,172.72,67.1,90,60000000,54,93,86,70,75
D. Godín,Diego Godín,2/16/1986,33,187.96,78,90,44000000,92,79,70,64,50
T. Kroos,Toni Kroos,1/4/1990,29,182.88,76.2,90,76500000,58,92,93,64,73
R. Lewandowski,Robert Lewandowski,8/21/1988,30,182.88,79.8,90,77000000,85,83,65,77,86
J. Oblak,Jan Oblak,1/7/1993,26,187.96,87.1,90,68000000,15,29,26,43,11
H. Kane,Harry Kane,7/28/1993,25,187.96,88.9,90,96500000,86,82,83,68,90
S. Agüero,Sergio Leonel Agüero del Castillo,6/2/1988,30,172.72,69.9,89,64500000,77,81,64,88,83
M. Neuer,Manuel Neuer,3/27/1986,32,193.04,92.1,89,38000000,25,55,59,54,47
E. Cavani,Edinson Roberto Cavani Gómez,2/14/1987,32,185.42,77.1,89,60000000,89,78,52,75,85
Sergio Busquets,Sergio Busquets i Burgos,7/16/1988,30,187.96,76.2,89,51500000,68,89,82,50,60
T. Courtois,Thibaut Courtois,5/11/1992,26,198.12,96.2,89,53500000,13,33,35,46,27
M. ter Stegen,Marc-André ter Stegen,4/30/1992,26,187.96,84.8,89,58000000,11,42,47,38,25
A. Griezmann,Antoine Griezmann,3/21/1991,27,175.26,73,89,78000000,84,84,78,88,83
M. Salah,Mohamed  Salah Ghaly,6/15/1992,26,175.26,71.2,89,78500000,59,83,74,94,75
P. Dybala,Paulo Bruno Exequiel Dybala,11/15/1993,25,152.4,74.8,89,89000000,68,87,75,87,86
N. Kanté,N'Golo Kanté,3/29/1991,27,167.64,72.1,89,63000000,54,86,81,82,54
